split,model,n,spearman,fold_mean,fold_sd,auroc,within_pos,top10_enrich,ci_lo,ci_hi,delta_lo,delta_hi,delta_mean,ref
block,blosum,8117,0.11229213952061523,0.11357334708075369,0.05657534925459864,0.5534610794380717,0.09790171349467033,1.097410604192355,0.09035858919726636,0.13573871896463544,-0.031006938513144948,0.003489005863484029,-0.015990226342015204,M1_sub
block,local_mean,8117,0.08468875162932055,,,0.5441601520500172,0.0,1.2946979038224415,0.06153417763035062,0.10544989909082894,-0.07172164349894652,-0.010472659886850635,-0.04511810724060939,M1_sub
block,mutaa_mean,8117,0.013513832971023475,0.04638199168686099,0.02776587534865138,0.5029151702870585,0.019289221375122578,0.9741060419235511,-0.007480258038963944,0.0361123174578302,-0.13536140399184418,-0.09612418275861342,-0.11537061249448857,M1_sub
block,A2_reach,8117,0.03210951012774578,0.08514641222078032,0.023059176783406195,0.5124588818136043,0.08423129258807183,0.8631319358816276,0.011028338920568308,0.053456980473187254,-0.12114556938197762,-0.06670798500596788,-0.09587702433554063,M1_sub
block,A1_artifact,8117,0.13062937689381118,0.15307878488867724,0.04564451131291469,0.5602479858751721,0.1362530415948134,0.8261405672009864,0.10613416879606441,0.15784049431765138,-0.005708966382992195,0.01075741301641356,0.003329233279019051,M1_sub
block,M1_props,8117,0.12944478683141775,0.15216722219730877,0.06059525025635946,0.5611485152890867,0.13072042565192965,0.8261405672009864,0.0997447891430056,0.1591638316163666,-0.003666282915198548,0.005434010297281352,0.0007042015035832585,M1_sub
block,M1_sub,8117,0.12848115275033614,0.149630184044713,0.06065104987148405,0.5602527213497414,0.13902143020875374,0.8384710234278667,0.09911408712071233,0.1547411826980143,,,,M1_sub
block,M2_sub_ctx,8117,0.06756142760534707,0.09751428186231409,0.04984104694637455,0.532198920044669,0.10868504666600577,1.0850801479654746,0.03893247720179671,0.0917910859847575,-0.07758238726232572,-0.044441771594950025,-0.06092850594746516,M1_sub
block,M2_shufctx,8117,0.10072603222495242,0.1142790411169492,0.05917982308360976,0.5424586292549605,0.10300968049493459,1.0727496917385944,0.07353769930767975,0.12694632842971262,-0.0469855048884578,-0.00932068866593703,-0.02829470185537914,M1_sub
block,site_only,8117,-0.010907164018666128,0.024822007848503212,0.03736097857226491,0.4950278124135245,0.0,1.035758323057953,-0.03733389119219564,0.013468217737128623,-0.16828494005118003,-0.11826315447729635,-0.14020095903938873,M1_sub
block,E_twostage,8117,0.11834381114880663,0.1385143579492571,0.06147652456374276,0.5559217959445153,0.12285906002076295,0.9001233045622687,0.0892100057648504,0.1408316627295893,-0.020734395661716507,3.306210973399937e-05,-0.010208206129512424,M1_sub
block,E_nowindow,8117,0.1182126376394383,0.1422306769975071,0.06259897930229162,0.5545852386029573,0.1318082045885744,0.8261405672009864,0.09220770045611887,0.143087414292135,-0.01940045340448209,-0.003944793125207335,-0.011031502658931802,M1_sub
block,E_shufctx,8117,0.1185627093973666,0.13616239201020364,0.06618796319542268,0.5563593112968632,0.12138854971577104,0.8877928483353883,0.09518612033531369,0.1459534686974817,-0.019069137423049328,-0.001403060174196772,-0.009273816312790943,M1_sub
block,M2_shuffleY,8117,-0.03672383188205135,-0.011321623728193972,0.03920513841718637,0.4776225149231195,3.570395495816635e-05,0.9864364981504316,-0.052853350355975555,-0.006671767954229444,-0.19277306875044126,-0.11959316443279877,-0.162392944115174,M1_sub
block,E_shuffleY,8117,-0.01911902871202788,0.01236837533352822,0.030486564078348863,0.4911879192943997,-0.009703441246782142,1.035758323057953,-0.03961031309994758,0.0023101161203518622,-0.1787688434786766,-0.11066804826618012,-0.14825429514781033,M1_sub
