split,fold,n_pos,site_spearman
block,0,137,0.0846696660257248
block,1,137,-0.0573067373569548
block,2,137,-0.056177310657681
block,3,137,0.0062351821083876
block,4,137,0.0060158306419997
block,5,137,0.1279425765863311
block,6,137,0.1253103589896764
block,7,137,0.0968926764612541
block,8,137,0.1082429480837082
block,9,135,0.1003950834064969
posgroup,0,137,0.0822754681053633
posgroup,1,137,0.2041975469972184
posgroup,2,137,0.1598232120521963
posgroup,3,137,0.3405174827785763
posgroup,4,137,0.2002258853398547
posgroup,5,137,0.0833022196501577
posgroup,6,137,-0.0536991057927455
posgroup,7,137,0.0913995556966042
posgroup,8,136,0.2889461380659319
posgroup,9,136,0.1396212012785649
domain,0,306,0.0619759453949786
domain,1,658,0.0676161374396558
domain,2,134,0.152722602526216
domain,3,270,0.0849312061893853
random,0,632,0.1621628597986773
random,1,615,0.1931523866615628
random,2,646,0.0883988452049107
random,3,631,0.1779785905816518
random,4,633,0.2094521120355452
random,5,636,0.209226599111354
random,6,648,0.1719192907074394
random,7,635,0.1861632251923511
random,8,629,0.131756383049002
random,9,638,0.1538737171152352
